
METRICS FROM MODEL EVALUATION FUNCTION
Train loss     : 0.432926829268
Train accuracy : 0.567073170732
Test loss      : 0.408450704645
Test accuracy  : 0.591549298293


FORMULAS:
Actual_No                 = tn + fp
Actual_Yes                = fn + tp
Predicted_No              = tn + fn
Predicted_Yes             = fp + tp
Total                     = fp + fn + tn + tp
Accuracy                  = (tp + tn)/Total
Misclassification_Rate    = (fp + fn)/Total
True_Positive_Rate        = tp/Actual_Yes
False_Positive_Rate       = fp/Actual_No
Specificity               = tn/Actual_No
Precision                 = tp/Predicted_Yes
Prevalance                = Actual_Yes/Total


TRAINING DATA METRICS:
True Positive          : 0
True Negative          : 93
False Positive         : 0
False Negative         : 71
Accuracy               : 0.567073170732
Misclassification Rate : 0.432926829268
True Positive Rate     : 0.0
False Positive Rate    : 0.0
Specificity            : 1.0
Precision              : nan
Prevalence             : 0.432926829268
Precision Score        : 0.0
Recall Score           : 0.0
F1 Score               : 0.0
Cohen Kappa Score      : 0.0
No. of actual 0s        : 93
No. of predicted 0s    : 164
No. of actual 1s        : 71
No. of predicted 1s    : 0


TESTING DATA METRICS:
True Positive          : 0
True Negative          : 42
False Positive         : 0
False Negative         : 29
Accuracy               : 0.591549295775
Misclassification Rate : 0.408450704225
True Positive Rate     : 0.0
False Positive Rate    : 0.0
Specificity            : 1.0
Precision              : nan
Prevalence             : 0.408450704225
Precision Score        : 0.0
Recall Score           : 0.0
F1 Score               : 0.0
Cohen Kappa Score      : 0.0
No. of actual 0s        : 42
No. of predicted 0s    : 71
No. of actual 1s        : 29
No. of predicted 1s    : 0


TRAINING DATA CLASS LABELS:
 S. No. | Actual | Predicted 
1   |   0   |   [0]
2   |   1   |   [0]
3   |   0   |   [0]
4   |   0   |   [0]
5   |   0   |   [0]
6   |   0   |   [0]
7   |   1   |   [0]
8   |   1   |   [0]
9   |   0   |   [0]
10   |   0   |   [0]
11   |   1   |   [0]
12   |   1   |   [0]
13   |   1   |   [0]
14   |   1   |   [0]
15   |   1   |   [0]
16   |   1   |   [0]
17   |   0   |   [0]
18   |   1   |   [0]
19   |   0   |   [0]
20   |   1   |   [0]
21   |   0   |   [0]
22   |   0   |   [0]
23   |   1   |   [0]
24   |   0   |   [0]
25   |   1   |   [0]
26   |   0   |   [0]
27   |   1   |   [0]
28   |   1   |   [0]
29   |   1   |   [0]
30   |   0   |   [0]
31   |   0   |   [0]
32   |   1   |   [0]
33   |   0   |   [0]
34   |   1   |   [0]
35   |   0   |   [0]
36   |   1   |   [0]
37   |   0   |   [0]
38   |   1   |   [0]
39   |   1   |   [0]
40   |   0   |   [0]
41   |   1   |   [0]
42   |   0   |   [0]
43   |   0   |   [0]
44   |   1   |   [0]
45   |   0   |   [0]
46   |   1   |   [0]
47   |   0   |   [0]
48   |   0   |   [0]
49   |   1   |   [0]
50   |   1   |   [0]
51   |   0   |   [0]
52   |   1   |   [0]
53   |   0   |   [0]
54   |   1   |   [0]
55   |   1   |   [0]
56   |   0   |   [0]
57   |   1   |   [0]
58   |   1   |   [0]
59   |   0   |   [0]
60   |   0   |   [0]
61   |   0   |   [0]
62   |   0   |   [0]
63   |   0   |   [0]
64   |   1   |   [0]
65   |   0   |   [0]
66   |   0   |   [0]
67   |   0   |   [0]
68   |   1   |   [0]
69   |   0   |   [0]
70   |   1   |   [0]
71   |   0   |   [0]
72   |   0   |   [0]
73   |   0   |   [0]
74   |   1   |   [0]
75   |   1   |   [0]
76   |   0   |   [0]
77   |   1   |   [0]
78   |   0   |   [0]
79   |   0   |   [0]
80   |   1   |   [0]
81   |   0   |   [0]
82   |   0   |   [0]
83   |   0   |   [0]
84   |   0   |   [0]
85   |   1   |   [0]
86   |   1   |   [0]
87   |   0   |   [0]
88   |   1   |   [0]
89   |   1   |   [0]
90   |   1   |   [0]
91   |   0   |   [0]
92   |   0   |   [0]
93   |   1   |   [0]
94   |   0   |   [0]
95   |   1   |   [0]
96   |   1   |   [0]
97   |   0   |   [0]
98   |   1   |   [0]
99   |   0   |   [0]
100   |   1   |   [0]
101   |   0   |   [0]
102   |   1   |   [0]
103   |   1   |   [0]
104   |   0   |   [0]
105   |   0   |   [0]
106   |   1   |   [0]
107   |   0   |   [0]
108   |   1   |   [0]
109   |   0   |   [0]
110   |   1   |   [0]
111   |   0   |   [0]
112   |   0   |   [0]
113   |   0   |   [0]
114   |   1   |   [0]
115   |   0   |   [0]
116   |   0   |   [0]
117   |   1   |   [0]
118   |   0   |   [0]
119   |   0   |   [0]
120   |   0   |   [0]
121   |   0   |   [0]
122   |   1   |   [0]
123   |   1   |   [0]
124   |   0   |   [0]
125   |   1   |   [0]
126   |   1   |   [0]
127   |   0   |   [0]
128   |   0   |   [0]
129   |   1   |   [0]
130   |   0   |   [0]
131   |   1   |   [0]
132   |   0   |   [0]
133   |   1   |   [0]
134   |   0   |   [0]
135   |   0   |   [0]
136   |   0   |   [0]
137   |   0   |   [0]
138   |   0   |   [0]
139   |   0   |   [0]
140   |   1   |   [0]
141   |   0   |   [0]
142   |   0   |   [0]
143   |   0   |   [0]
144   |   1   |   [0]
145   |   1   |   [0]
146   |   0   |   [0]
147   |   0   |   [0]
148   |   0   |   [0]
149   |   0   |   [0]
150   |   1   |   [0]
151   |   0   |   [0]
152   |   1   |   [0]
153   |   1   |   [0]
154   |   1   |   [0]
155   |   1   |   [0]
156   |   0   |   [0]
157   |   0   |   [0]
158   |   0   |   [0]
159   |   0   |   [0]
160   |   0   |   [0]
161   |   0   |   [0]
162   |   0   |   [0]
163   |   1   |   [0]
164   |   0   |   [0]



TESTING DATA CLASS LABELS:
