FORMULAS:
Actual_No                 = tn + fp
Actual_Yes                = fn + tp
Predicted_No              = tn + fn
Predicted_Yes             = fp + tp
Total                     = fp + fn + tn + tp
Accuracy                  = (tp + tn)/Total
Misclassification_Rate    = (fp + fn)/Total
True_Positive_Rate        = tp/Actual_Yes
False_Positive_Rate       = fp/Actual_No
Specificity               = tn/Actual_No
Precision                 = tp/Predicted_Yes
Prevalance                = Actual_Yes/Total


METRICS:
True Positive          : 0
True Negative          : 135
False Positive         : 0
False Negative         : 100
Accuracy               : 0.574468085106
Misclassification Rate : 0.425531914894
True Positive Rate     : 0.0
False Positive Rate    : 0.0
Specificity            : 1.0
Precision              : nan
Prevalence             : 0.425531914894
Precision Score        : 0.0
Recall Score           : 0.0
F1 Score               : 0.0
Cohen Kappa Score      : 0.0
No. of actual 0s       : 135
No. of predicted 0s    : 235
No. of actual 1s       : 100
No. of predicted 1s    : 0


CLASS LABELS:

S. No.      |      Actual  |   Predicted
1           |           0  |         [0]
2           |           0  |         [0]
3           |           1  |         [0]
4           |           0  |         [0]
5           |           0  |         [0]
6           |           0  |         [0]
7           |           1  |         [0]
8           |           1  |         [0]
9           |           0  |         [0]
10          |           0  |         [0]
11          |           0  |         [0]
12          |           1  |         [0]
13          |           1  |         [0]
14          |           1  |         [0]
15          |           0  |         [0]
16          |           1  |         [0]
17          |           0  |         [0]
18          |           1  |         [0]
19          |           0  |         [0]
20          |           0  |         [0]
21          |           0  |         [0]
22          |           1  |         [0]
23          |           1  |         [0]
24          |           1  |         [0]
25          |           1  |         [0]
26          |           0  |         [0]
27          |           1  |         [0]
28          |           1  |         [0]
29          |           1  |         [0]
30          |           1  |         [0]
31          |           0  |         [0]
32          |           1  |         [0]
33          |           0  |         [0]
34          |           0  |         [0]
35          |           0  |         [0]
36          |           1  |         [0]
37          |           1  |         [0]
38          |           0  |         [0]
39          |           0  |         [0]
40          |           0  |         [0]
41          |           0  |         [0]
42          |           0  |         [0]
43          |           1  |         [0]
44          |           0  |         [0]
45          |           0  |         [0]
46          |           0  |         [0]
47          |           1  |         [0]
48          |           0  |         [0]
49          |           1  |         [0]
50          |           0  |         [0]
51          |           0  |         [0]
52          |           1  |         [0]
53          |           0  |         [0]
54          |           1  |         [0]
55          |           0  |         [0]
56          |           0  |         [0]
57          |           0  |         [0]
58          |           0  |         [0]
59          |           0  |         [0]
60          |           0  |         [0]
61          |           1  |         [0]
62          |           0  |         [0]
63          |           1  |         [0]
64          |           1  |         [0]
65          |           1  |         [0]
66          |           1  |         [0]
67          |           0  |         [0]
68          |           0  |         [0]
69          |           1  |         [0]
70          |           0  |         [0]
71          |           1  |         [0]
72          |           0  |         [0]
73          |           0  |         [0]
74          |           1  |         [0]
75          |           1  |         [0]
76          |           0  |         [0]
77          |           1  |         [0]
78          |           0  |         [0]
79          |           1  |         [0]
80          |           1  |         [0]
81          |           1  |         [0]
82          |           0  |         [0]
83          |           1  |         [0]
