Testing Data
S. No.      |      Actual  |   Predicted
1           |         0.2  |  [ 0.43422309]
2           |         1.0  |  [ 0.91016889]
3           |         1.0  |  [ 0.90139568]
4           |         1.0  |  [ 0.65168893]
5           |         0.2  |  [ 0.43422309]
6           |         1.0  |  [ 0.49573326]
7           |         0.2  |  [ 0.79485583]
8           |         1.0  |  [ 0.78737652]
9           |         1.0  |  [ 0.99996042]
10          |         0.2  |  [ 0.43422309]
11          |         1.0  |  [ 0.99875581]
12          |         1.0  |  [ 0.96704549]
13          |         0.2  |  [ 0.70806682]
14          |         1.0  |  [ 0.70121616]
15          |         0.2  |  [ 0.53733772]
16          |         0.2  |  [ 0.99994957]
17          |         1.0  |  [ 0.57532227]
18          |         0.2  |  [ 0.43422309]
19          |         0.2  |  [ 0.43422309]
20          |         1.0  |  [ 0.99823076]
21          |         0.2  |  [ 0.76625752]
22          |         1.0  |  [ 0.67191869]
23          |         1.0  |  [ 0.43422309]
24          |         1.0  |  [ 0.99667251]
25          |         1.0  |  [ 0.43935037]
26          |         1.0  |  [ 0.43422309]
27          |         1.0  |  [ 0.99999368]
28          |         0.2  |  [ 0.43422309]
29          |         1.0  |  [ 0.43422309]
30          |         0.2  |  [ 0.84098107]
31          |         1.0  |  [ 0.98810506]
32          |         0.2  |  [ 0.57994878]
33          |         0.2  |  [ 0.46306968]
34          |         0.2  |  [ 0.77454764]
35          |         0.2  |  [ 0.43422309]
36          |         0.2  |  [ 0.99460608]
37          |         0.2  |  [ 0.43422309]
38          |         0.2  |  [ 0.43422309]
39          |         1.0  |  [ 0.43422309]
40          |         0.2  |  [ 0.43422309]



